name,address
AMC Oakview Plaza 24 & IMAX,"3555 South 140th Plaza,       Omaha,      NE      68144"
AMC Star Council Bluffs 17 & IMAX,"3220 23rd Avenue,       Council Bluffs,      IA      51503"
Regal Winrock Stadium 16 & IMAX,"2100 Louisina Blvd NE - Bld 400,       Albuquerque,      NM      87110"
AMC Albuquerque 12 & IMAX,"3810 Las Estancias Way SW,       Albuquerque,      NM      87121"
"IMAX Dome, McWane Center","200 Nineteenth Street North,       Birmingham,      AL      35203"
AMC Patton Creek 15 & IMAX,"4450 Creekside Avenue,       Hoover,      AL      35244"
Cobb Hollywood 16 & IMAX,"4250 Old Greensboro Road,       Tuscaloosa,      AL      35405"
Cinemark Tinseltown USA & IMAX,"2291 Buffalo Road,       Rochester,      NY      14624"
AMC Sarasota 12 & IMAX,"8201 S. Tamiami Trail,       Sarasota,      FL      34238"
Edwards Fresno Stadium 22 & IMAX,"250 Paseo del Centro,       Fresno,      CA      93720"
AMC Southroads 20 & IMAX,"4923 E 41st Street ,       Tulsa,      OK      74135"
Cinemark Tulsa & IMAX,"10802 East 71st Street,       Tulsa,      OK      74133"
Cinemark Carefree Circle & IMAX,"3305 Cinema Point,       Colorado Springs,      CO      80922"
Regal Gulf Coast Town Center 16 & IMAX,"10028 Gulf Center Drive,       Fort Myers,      FL      33913"
Regal Hollywood Stadium 20 & IMAX,"6006 Hollywood Blvd.,       Naples,      FL      34109"
Citadel Mall IMAX Stadium 16,"2072 Sam Rittenberg Boulevard,       Charleston,      SC      29407"
Regal Crossgates Stadium 18 & IMAX,"One Crossgates Mall Road,       Albany,      NY      12203"
Dordoi Plaza & IMAX,"115, Ibraimov Str. ,       Bishkek,      Kyrgyzstan`      720021"
Celebration! Cinema Grand Rapids North & IMAX,"2121 Celebration Dr. NE,       Grand Rapids,      MI      49525"
AMC Mall of Louisiana 15 & IMAX,"9168T Picardy Ave Extension,       Baton Rouge,      LA      70836"
AMC Baton Rouge 16 & IMAX,"16040 Hatteras Ave.,       Baton Rouge,      LA      70816"
Regal Pinnacle Stadium 18 & IMAX,"11240 Parkside Drive,       Knoxville,      TN      37922"
Regal Sandhill Stadium 16 & IMAX,"450 Town Center Place,       Columbia,      SC      29229"
Reading Cinemas Valley Plaza 16 & IMAX,"2000 Wible Road,       Bakersfield,      CA      93304"
AMC West Melbourne 12 & IMAX,"4255 Norfolk Parkway,       West Melbourne,      FL      32904"
Warren West IMAX,"9150 West 21st,       Wichita,      KS      67205"
"Blank IMAX Dome, Science Center Iowa","401 West Martin Luther King Jr. Parkway,       Des Moines,      IA      50309"
The Palms Theatre & IMAX,"200 NE Westgate Drive,       Waukee,      Iowa      50263"
Regal Rancho Mirage Stadium 16 & IMAX,"72-777 Dinah Shore Drive,       Rancho Mirage,      CA      92270"
Regal Simpsonville Stadium 14 & IMAX,"Simpsonville,      SC      29681"
AMC Chenal 9 & IMAX,"17825 Chenal Parkway,       Little Rock,      AR      72211"
Penn Cinema & IMAX,"541 Airport Road,       Lititz,      PA      17543"
New Vision Fitchburg 18 & IMAX,"3301 Town Center Blvd.,       Fitchburg,      WI      53719"
Galaxy Luxury+ Sparks & IMAX,"1170 Scheels Drive,       Sparks,      NV      89434"
AMC CityPlace 20 & IMAX,"545 Hibiscus Street,       West Palm Beach,      FL      33401"
